epoch,lr,train_loss,train_acc,train_grad_norm,val_loss,val_acc,prune_step,pruned_now,mask_sparsity,epoch_time_sec,elapsed_time_sec,time_to_acc_sec,time_to_acc_epoch,epoch_peak_rss_mb,epoch_end_rss_mb,sys_used_mb,sys_avail_mb,total_params,nnz_params,nnz_ratio
1,0.0009938441702975688,0.5260642929783574,0.8083518518518519,1.4471945433190074,0.3855160495440165,0.8508333333333333,1,0.20566964285714287,0.20566964285714284,7.735647709108889,7.735650832997635,,,453.65625,453.65625,7002.203125,5179.78125,269322,214038,0.7947289861207031
2,0.0009755282581475768,0.37553877222096477,0.8634814814814815,1.033052939828214,0.359680904229482,0.8666666666666667,2,0.20567076940369808,0.36904017857142857,7.410534624941647,15.149531999835745,,,478.921875,478.921875,6978.65625,5190.078125,269322,170124,0.6316750952391561
3,0.0009455032620941839,0.3355735767240878,0.876537037037037,0.9232248489153042,0.3173850454092026,0.884,3,0.2056697444605606,0.4988095238095238,7.442731959046796,22.595407041022554,,,481.65625,481.65625,6980.71875,5157.953125,269322,135242,0.5021572689939923
4,0.0009045084971874737,0.3068190953908143,0.8869074074074074,0.8166508746625099,0.30152106102307635,0.888,4,0.2056710213776722,0.6018898809523809,7.411280540982261,30.009941540891305,,,484.046875,484.046875,7046.40625,5088.25,269322,107534,0.3992767022374704
5,0.0008535533905932737,0.285754096781766,0.8929259259259259,0.7439952944879651,0.30102431201934815,0.888,5,0.20566852315628154,0.6837686011904762,7.409495082916692,37.422495582839474,,,486.125,486.125,6960.203125,5156.953125,269322,85525,0.3175566793652208
6,0.0007938926261462366,0.27036601139880995,0.8992592592592593,0.6570052170762026,0.291454595208168,0.8931666666666667,6,0.20566332952954602,0.7488058035714286,7.698897500056773,45.122485499829054,,,486.640625,275.296875,4686.734375,7972.609375,269322,68043,0.2526455321139751
7,0.0007269952498697733,0.2556777577665117,0.9049814814814815,0.5986904160335473,0.286629083832105,0.8935,7,0.20566934731416892,0.8004687500000001,7.389718292048201,52.5155629159417,,,278.03125,278.03125,4747.859375,7931.59375,269322,54156,0.20108271882727738
8,0.0006545084971874737,0.2529294620796486,0.9063888888888889,0.5432413004407609,0.28763708941141763,0.8968333333333334,8,0.20565313047693629,0.8415029761904762,7.476809915853664,59.99550549988635,,,283.375,283.375,5111.25,7685.28125,269322,43126,0.16012802518917876
9,0.0005782172325201155,0.2518798724633676,0.905962962962963,0.4817110535531107,0.2842352543671926,0.8996666666666666,9,0.20566144024035302,0.8740997023809524,7.4640964169520885,67.46270283288322,,,286.6875,286.6875,5216.84375,7593.78125,269322,34364,0.12759447798545978
10,0.0005,0.25384607723465674,0.9051111111111111,0.44860264592567645,0.28475827622413635,0.893,10,0.20566160392411795,0.8999925595238095,7.34620041702874,74.8120339999441,,,288.015625,288.015625,5203.890625,7612.734375,269322,27404,0.10175180638789257
11,0.0004217827674798847,0.26095022405518425,0.9031666666666667,0.40761259791064247,0.2794885470867157,0.8968333333333334,11,0.0,0.8999925595238095,7.356747209094465,82.16992195788771,,,289.296875,289.296875,5230.609375,7587.625,269322,27404,0.10175180638789257
12,0.00034549150281252633,0.23741950838212614,0.9111111111111111,0.3965016859685973,0.2779850436051687,0.9006666666666666,12,0.0,0.8999925595238095,7.3001841669902205,89.4715939159505,89.4715939159505,12,290.4375,290.4375,5266.328125,7559.109375,269322,27404,0.10175180638789257
13,0.00027300475013022663,0.23175735283780982,0.9145925925925926,0.4059572626294295,0.2790717825094859,0.8996666666666666,13,0.0,0.8999925595238095,7.353580000111833,96.8286162498407,89.4715939159505,12,291.609375,291.609375,5285.796875,7541.609375,269322,27404,0.10175180638789257
14,0.00020610737385376348,0.22702686678921735,0.9148703703703703,0.4049688437060748,0.2767590855360031,0.8991666666666667,14,0.0,0.8999925595238095,7.2819425410125405,104.11191291594878,89.4715939159505,12,293.171875,293.171875,5295.328125,7537.15625,269322,27404,0.10175180638789257
15,0.00014644660940672625,0.2228931963443756,0.9177962962962963,0.40947094543001017,0.2777128360668818,0.9001666666666667,15,0.0,0.8999925595238095,7.339429666055366,111.45277158287354,89.4715939159505,12,294.328125,294.328125,5328.578125,7509.453125,269322,27404,0.10175180638789257
16,9.549150281252631e-05,0.21984796457378952,0.9177592592592593,0.4086237761640016,0.27658367609977724,0.9016666666666666,16,0.0,0.8999925595238095,7.2647915000561625,118.71907666581683,89.4715939159505,12,295.46875,295.46875,5348.875,7488.28125,269322,27404,0.10175180638789257
17,5.4496737905816096e-05,0.21835889946531367,0.9202407407407407,0.4070392288166083,0.2772350299358368,0.8998333333333334,17,0.0,0.8999925595238095,7.335099499905482,126.0578252908308,89.4715939159505,12,296.65625,296.65625,5439.9375,7423.0625,269322,27404,0.10175180638789257
18,2.447174185242323e-05,0.21542998735992996,0.9200185185185186,0.4069049702897742,0.2765638780593872,0.9013333333333333,18,0.0,0.8999925595238095,7.324204458156601,133.38349854084663,89.4715939159505,12,297.8125,297.8125,5426.34375,7435.984375,269322,27404,0.10175180638789257
19,6.15582970243117e-06,0.21666697661523465,0.9192407407407407,0.41088200659826785,0.27652876496315004,0.9015,19,0.0,0.8999925595238095,7.3128440419677645,140.69774562492967,89.4715939159505,12,298.9375,298.9375,5423.0,7442.578125,269322,27404,0.10175180638789257
20,0.0,0.21657319734273134,0.9191296296296296,0.4129420833250633,0.2765396476984024,0.9018333333333334,20,0.0,0.8999925595238095,7.312239749822766,148.01147245801985,89.4715939159505,12,300.078125,300.078125,5424.859375,7440.03125,269322,27404,0.10175180638789257
