epoch,lr,train_loss,train_acc,train_grad_norm,val_loss,val_acc,prune_step,pruned_now,mask_sparsity,epoch_time_sec,elapsed_time_sec,time_to_acc_sec,time_to_acc_epoch,epoch_peak_rss_mb,epoch_end_rss_mb,sys_used_mb,sys_avail_mb,total_params,nnz_params,nnz_ratio
1,0.0009938441702975688,1.888527108807034,0.31344444444444447,2.190008641620611,1.7825359832763672,0.3652,0,0.0,0.0,9.144057750003412,9.144059916958213,,,679.078125,679.078125,7758.4375,5624.21875,855050,855050,1.0
2,0.0009755282581475768,1.7590963400734796,0.36362222222222224,2.194575001410161,1.6932743312835694,0.395,0,0.0,0.0,8.62478204187937,17.80510887503624,,,709.703125,709.703125,7587.34375,5801.328125,855050,855050,1.0
3,0.0009455032620941839,1.702957660569085,0.3854666666666667,2.3322587164673467,1.6567681312561036,0.4132,0,0.0,0.0,8.89923037495464,26.70940970815718,,,716.0,716.0,7757.71875,5630.75,855050,855050,1.0
4,0.0009045084971874737,1.671431843884786,0.39724444444444446,2.3830595149655367,1.6274507156372071,0.4136,0,0.0,0.0,8.506507416954264,35.22057137498632,,,716.96875,716.96875,7575.359375,5815.21875,855050,855050,1.0
5,0.0008535533905932737,1.6400139738082886,0.4090666666666667,2.464386984796512,1.6067742397308349,0.4264,0,0.0,0.0,8.670097624883056,43.89545404212549,,,717.984375,717.984375,7689.59375,5699.765625,855050,855050,1.0
6,0.0007938926261462366,1.62340013701121,0.41706666666666664,2.5060409774682872,1.5877763454437255,0.428,0,0.0,0.0,8.580018957844004,52.48010737495497,,,721.96875,721.96875,7539.890625,5849.796875,855050,855050,1.0
7,0.0007269952498697733,1.596149376572503,0.4249777777777778,2.5571819217797374,1.569248304748535,0.438,0,0.0,0.0,8.874476332915947,61.359414250124246,,,724.546875,724.546875,7506.359375,5884.46875,855050,855050,1.0
8,0.0006545084971874737,1.576481652598911,0.43262222222222224,2.5801341006677316,1.5584092079162597,0.4554,0,0.0,0.0,8.68165941699408,70.04563783295453,,,728.5625,728.5625,7538.015625,5854.84375,855050,855050,1.0
9,0.0005782172325201155,1.5601102321200901,0.4372666666666667,2.6172693061318,1.5462536151885986,0.4528,0,0.0,0.0,8.605304874945432,78.65539862494916,,,731.046875,731.046875,7489.96875,5955.953125,855050,855050,1.0
10,0.0005,1.5366166525522869,0.4518,2.6619677323538617,1.4925097846984863,0.4708,0,0.0,0.0,9.928932041162625,88.5868320830632,,,732.03125,686.734375,7924.109375,5524.640625,855050,855050,1.0
11,0.0004217827674798847,1.5180012884351943,0.4544888888888889,2.6328544142385533,1.4709895553588868,0.4724,0,0.0,0.0,9.299192792037502,97.8910527501721,,,690.671875,584.0625,8051.0625,5404.671875,855050,855050,1.0
12,0.00034549150281252633,1.50060445728302,0.4600666666666667,2.6446266034651686,1.4704901454925536,0.4744,0,0.0,0.0,9.63038504193537,107.52828695811331,,,395.875,395.875,7548.796875,5231.703125,855050,855050,1.0
13,0.00027300475013022663,1.475271866522895,0.46975555555555554,2.6506036691870984,1.4530672206878663,0.4856,0,0.0,0.0,8.825117667205632,116.35911387507804,,,401.5,401.5,7425.0,5402.34375,855050,855050,1.0
14,0.00020610737385376348,1.4675309584299723,0.4756444444444444,2.6165868004193475,1.4325341136932372,0.4858,0,0.0,0.0,9.476786584127694,125.84121374995448,,,404.890625,404.890625,7510.03125,5370.765625,855050,855050,1.0
15,0.00014644660940672625,1.455443863550822,0.4779111111111111,2.5987464886129206,1.4215119674682617,0.4972,0,0.0,0.0,9.36600291589275,135.2121375419665,,,409.21875,409.21875,7539.109375,5519.296875,855050,855050,1.0
16,9.549150281252631e-05,1.4386304550594753,0.4865111111111111,2.5621168261978187,1.4093856494903565,0.499,0,0.0,0.0,8.948423292022198,144.16600750014186,,,410.265625,410.265625,7526.625,5543.90625,855050,855050,1.0
17,5.4496737905816096e-05,1.4257894961675008,0.48777777777777775,2.572305542254395,1.402564363861084,0.5004,0,0.0,0.0,8.470114124938846,152.6413575001061,,,411.21875,411.21875,7400.0,5735.21875,855050,855050,1.0
18,2.447174185242323e-05,1.4155616142908731,0.4902888888888889,2.5577926504767996,1.400334716796875,0.5014,0,0.0,0.0,8.453056707978249,161.09925570804626,,,416.8125,416.8125,7469.078125,5675.03125,855050,855050,1.0
19,6.15582970243117e-06,1.412019830301073,0.49422222222222223,2.5611735106028286,1.3999616493225098,0.5068,0,0.0,0.0,8.777968332869932,169.88212966709398,,,418.625,418.625,7494.96875,5660.734375,855050,855050,1.0
20,0.0,1.4041981430053712,0.49295555555555554,2.571740460517056,1.3934277458190918,0.5054,0,0.0,0.0,8.587703125085682,178.4750979579985,,,420.359375,420.359375,7435.546875,5724.828125,855050,855050,1.0
